plot,title,year
"Mademoiselle Henriette Deluzy-Desportes (Bette Davis), a French woman, starts teaching at an American girls school. She is confronted by the tales and gossip about her that circulate among her pupils and, thus provoked, she decides to tell them her life story. Deluzy-Desportes is governess to the four children of the Duc de Praslin (Charles Boyer) and the Duchesse de Praslin (Barbara O'Neil) in Paris during the last years of the Orleans monarchy. As a result of the Duchesse's constantly erratic and temperamental behavior, all that remains is an unhappy marriage, but the Duc remains with his wife for sake of their children. Deluzy-Desportes. with her warmth and kindness, wins the love and affection of the children and their father, but also the jealousy and hatred of their mother. She is forced to leave and the Duchess refuses to give her a letter of recommendation to future employers. The Duc confronts his wife and she invents alternate letters taking opposite attitudes, which in fact she has not written and does not intend to write. Her account enrages him and, at the breaking point, he kills her. The Duc de Praslin is in a privileged position; as a peer his case can only be heard by other nobles. He refuses to confess his guilt or openly to admit his love for Henriette Deluzy-Desportes, knowing that his fellow nobles wish to use such an admission to blame her for the murder by declaring that he was acting at her bidding. Ultimately the Duc takes poison to prevent himself from ever publicly proclaiming his love for Henriette, since he knows that would convict her; however, he lives long enough to reveal it to another of his servants, Pierre (Harry Davenport), a kindly old man who had warned the governess to leave the de Praslin household. With the Duc's death, the authorities accept that they have no evidence upon which to base a judgment that Henriette solicited the murder and she is released. Deluzy-Desportes had been recommended for the teaching position ""in the land of the free"" by an American minister, Rev. Henry Field (Jeffrey Lynn), to whom she had expressed a loss of faith while in prison. He proposes marriage, and it is implied that Henriette will accept. ","All This, and Heaven Too",1940
"In mid-August 1939, just before the outbreak of World War II, the editor of the New York Globe, Mr. Powers (Harry Davenport), is concerned about the crisis in Europe, the growing power of Adolf Hitler and Nazi Germany, and the inability of celebrated foreign correspondents to get answers about whether war will ensue. After searching for a good, tough crime reporter for a fresh viewpoint, he appoints John Jones (Joel McCrea) as a foreign correspondent, under the pen name Huntley Haverstock. The reporter's first assignment is Stephen Fisher (Herbert Marshall), leader of the Universal Peace Party, at an event held by Fisher in honor of a Dutch diplomat named Van Meer (Albert Basserman). On the way to the party, Haverstock sees Van Meer entering the car that is to take him to the party, and runs to interview him; Van Meer invites him to ride along, but diplomatically evades his questioning. At the party, Haverstock meets Fisher's daughter, Carol (Laraine Day). Van Meer disappears mysteriously. Later, Fisher informs the guests that Van Meer, who was supposed to be the guest of honor, will not be attending the party; instead he will be at a political conference in Amsterdam. At the conference, Van Meer is shot in front of a large crowd by a man disguised as a photographer. Haverstock commandeers a car to follow the assassin's getaway car. The car he jumps into happens to have in it Carol and another reporter, Scott ffolliott (George Sanders), who explains that the capital letter in his surname was dropped in memory of an executed ancestor. The group follows the assassin to the countryside, where they see a windmill begin turning backwards: obviously a signal. While Carol and ffolliott go for help, Haverstock searches the windmill and finds a live Van Meer; the man who was shot in front of witnesses was an impostor substituted to make everyone believe Van Meer was killed. The old man has been drugged and is unable to tell Haverstock anything. Haverstock is forced to flee when the kidnappers become aware of him. They escape with Van Meer in an aircraft before the police arrive. Later, back at Haverstock's hotel room, two spies dressed as policemen arrive to kidnap him. When he suspects who they really are, he escapes out the window and into Carol Fisher's room. Haverstock and Carol board a British boat to England, and while a furious storm thunders overhead, he proposes marriage to her which she accepts. In England, they go to Carol's father's house, where Haverstock sees a man whom he recognizes as one of the men at the windmill. He informs Fisher and Fisher promises that he will send a bodyguard to protect him. The bodyguard, Rowley (Edmund Gwenn), repeatedly tries to kill Haverstock. When the assassin tries to push him off the top of the Westminster Cathedral tower, Haverstock steps aside and Rowley plunges to his death. Haverstock and ffolliott are convinced that Fisher is a traitor, so they come up with a plan: Haverstock will take Carol to the countryside, and ffolliott will pretend she has been kidnapped to force Fisher to divulge Van Meer's location. After a misunderstanding with Haverstock, Carol returns to London. Just as Fisher is about to fall for ffolliott's bluff, he hears her car pull up. Fisher heads to a hotel where Van Meer is being held with ffolliott on his tail. Van Meer is being interrogated using sleep deprivation to discover a secret clause in a treaty he signed. Just as he is being forced to divulge the information the organization wants, ffolliott distracts the interrogators. When Haverstock arrives, Fisher and his bodyguards escape, leaving Van Meer behind. Van Meer is rushed to the hospital in a coma. England and France declare war on Germany. While Haverstock, ffolliott and the Fishers are on a Short S.30 Empire aircraft to America, Fisher confesses his misdeeds to his daughter. Carol believes Haverstock does not really love her but only used her to pursue her father. Haverstock protests that he was just doing his job as a reporter. Seconds later, the aircraft is shelled by a German destroyer and crashes into the ocean. The survivors perch on the floating wing of the downed aircraft. Realizing that it cannot support everyone, Fisher sacrifices himself by allowing himself to drown. Jones and ffolliott attempt to save him, but are unsuccessful. They are rescued by an American ship, the Mohican. The captain refuses to allow the reporters to file their story using the ship's communications citing American neutrality, but Jones, ffolliott, and Carol surreptitiously communicate the story by radio-telephone to Mr. Powers. Later, back in London and now a successful war correspondent, Haverstock, with Carol at his side, describes London being bombed in a live radio broadcast to the United States, urging Americans to fortify their country and ""keep the lights burning"" as they go dark in the studio. ",Foreign Correspondent (film),1940
"The film opens with Tom Joad (Henry Fonda), released from prison and hitchhiking his way back to his parents' family farm in Oklahoma. Tom finds an itinerant ex-preacher named Jim Casy (John Carradine) sitting under a tree by the side of the road. Casy was the preacher who baptized Tom, but now Casy has ""lost the spirit"" and his faith. Casy goes with Tom to the Joad property only to find it deserted. There, they meet Muley Graves (John Qualen) who is hiding out. In a flashback, he describes how farmers all over the area were forced from their farms by the deed holders of the land. A local boy (Irving Bacon), hired for the purpose, is shown knocking down Muley's house with a Caterpillar tractor. The large Joad family of twelve leaves at daybreak, along with Casy, who decides to accompany them. They pack everything into a dilapidated 1926 Hudson ""Super Six"" sedan adapted to serve as a truck in order to make the long journey to the promised land of California. The trip along Highway 66 is arduous, and it soon takes a toll on the Joad family. The elderly Grandpa (Charley Grapewin) dies along the way. Tom writes the circumstances surrounding the death on a page from the family Bible and places it on the body before they bury it so that if his remains were found, his death would not be investigated as a possible homicide. They park in a camp and meet a man, a migrant returning from California, who laughs at Pa's optimism about conditions in California. He speaks bitterly about his experiences in the West. The family arrives at the first transient migrant campground for workers and finds the camp is crowded with other starving, jobless and desperate travelers. Their truck slowly makes its way through the dirt road between the shanty houses and around the camp's hungry-faced inhabitants. Tom says, ""Sure don't look none too prosperous."" After some trouble with a so-called ""agitator"", the Joads leave the camp in a hurry. The Joads make their way to another migrant camp, the Keene Ranch. After doing some work in the fields, they discover the high food prices in the company store for meat and other products. The store is the only one in the area, by a long shot. Later they find a group of migrant workers are striking, and Tom wants to find out all about it. He goes to a secret meeting in the dark woods. When the meeting is discovered, Casy is killed by one of the camp guards. As Tom tries to defend Casy from the attack, he inadvertently kills the guard. Tom suffers a serious wound on his cheek, and the camp guards realize it will not be difficult to identify him. That evening the family hides Tom under the mattresses of the truck just as guards arrive to question them; they are searching for the man who killed the guard. Tom avoids being spotted and the family leaves the Keene Ranch without further incident. After driving for a while, they have to stop at the top of a hill when the engine overheats due to a broken fan belt; they have little gas, but decide to try coasting down the hill to some lights. The lights are from a third type of camp: Farmworkers' Wheat Patch Camp (Weedpatch in the book), a clean camp run by the Department of Agriculture, complete with indoor toilets and showers, which the Joad children had never seen before. Tom is moved to work for change by what he has witnessed in the various camps. He tells his family that he plans to carry on Casy's mission in the world by fighting for social reform. He leaves to seek a new world and to join the movement committed to social justice. Tom Joad says: As the family moves on again, they discuss the fear and difficulties they have had. Ma Joad concludes the film, saying: ",The Grapes of Wrath (film),1940
"The action starts in 1918, with the defeat of the Tomainian[7] army. A Jewish barber saves the life of a wounded pilot, Schultz (Reginald Gardiner), but loses his own memory through concussion. Twenty years later, still suffering from amnesia and not having aged a single day, the barber escapes from his care-home to return to the ghetto. The ghetto is now governed by Schultz, who has been promoted in the Tomainian regime under the ruthless dictator Adenoid Hynkel, who looks like an identical twin of the barber (both played by Chaplin). The barber falls in love with a neighbor, Hannah (Paulette Goddard), and together they try to resist persecution by storm troopers. The storm troopers capture the barber and are about to hang him, but Schultz remembers that the barber had saved his life during the war, and restrains them. Hynkel tries to finance his military forces by borrowing money from a Jewish banker called Hermann Epstein, but the banker obviously refuses to lend him the money. Furious, Hynkel orders a purge of the Jews. Schultz protests this inhumane policy, and is removed from office and sent to a concentration camp. He escapes and hides in the ghetto with the barber. Schultz tries to persuade the Jewish family to mount an assassination attempt against Hynkel, but they decline to participate in his plan. Storm troopers search the ghetto, arresting Schultz and the barber. They are sent to a concentration camp. Hannah and her family flee to freedom in the neighboring country of Osterlich. Hynkel has a dispute with the dictator of the nation of Bacteria, a man named Napaloni (a spoof of Mussolini played by Jack Oakie), over which country should invade Osterlich. After signing a treaty with Napaloni, Hynkel invades Osterlich. The Jewish family is trapped by the invading force. Escaping from the camp in stolen uniforms, Schultz and the barber, dressed as Hynkel, arrive at the Osterlich frontier, where a huge victory-parade is waiting to be addressed by Hynkel. The real Hynkel is mistaken for the barber while out duck-shooting in civilian clothes, is knocked out and is taken to a concentration camp. Schultz tells the barber to go up to the platform and impersonate Hynkel, as the only way to save their lives once they reach Osterlich's capital. The barber has never given a public speech in his life, but he has no other choice. The terrified barber mounts the steps, but is inspired to seize the initiative. Announcing that he (apparently Hynkel) has had a change of heart, he makes an impassioned plea for brotherhood and goodwill. Finally, he addresses a message of hope to Hannah, in case she can hear him. Hannah hears the barber's voice on the radio. She turns her face, radiant with joy and hope, toward the sunlight, and says to her fellows, ""Listen."" ",The Great Dictator,1940
"Kitty Foyle (Ginger Rogers), a saleswoman in a New York boutique working for Delphine Detaille (Odette Myrtil), faces a life-changing decision: marry doctor Mark Eisen (James Craig) or run away to South America with the man she has loved for many years, the already-married Wyn Strafford (Dennis Morgan). As she wrestles with her decision, the film flashes back to her youth in Philadelphia. As a teenager, Kitty gawks at the city's elite ""Main Liners"" in a parade that precedes their annual Assembly Ball. Her father (Ernest Cossart) warns against getting carried away with her fantasies. Ironically, Kitty meets the embodiment of her dreams in an acquaintance of his: Wynnewood Strafford VI. Wyn offers her a secretarial job at his fledgling magazine. The two fall deeply in love, but when the magazine folds, he does not have the will to defy his social class's strictures by proposing to a woman so far below him socially. With the death of her father and no prospect of marriage with Wyn, Kitty goes to work in New York for Delphine. One day, she presses the burglar alarm button by mistake at Delphine's fashion store. She pretends to faint to cover her blunder and is attended to by Mark. Mark, aware she is faking it, playfully blackmails her into a first date. Wyn finally breaks down and finds Kitty in New York. The two wed, but agree that the only way their marriage can work is if they do not live in Philadelphia. When he introduces her to his family, she gets a chilly reception. She also learns that Wyn would be disinherited and left penniless if he does not remain in Philadelphia and work in the family banking business. She realizes, though Wyn is willing to try, he is not strong enough to deal with poverty. She walks out and they are divorced. Kitty returns to New York, where she learns that she is pregnant. When Wyn arranges to meet her, her hopes for a reconciliation are raised, only to be dashed when she sees a newspaper announcement of Wyn's engagement to someone of his own social standing. She leaves without seeing him and receives a further blow when the baby dies at birth. Several years later, Kitty reluctantly agrees to open a Philadelphia branch store for her friend Delphine. By chance, she waits on Wyn's wife and meets their son. She takes the opportunity to entrust the secret return of a family heirloom ring to the boy. The film returns to the beginning. She decides to marry Mark. ",Kitty Foyle (film),1940
"On a moonlit, tropical night, the native workers are asleep in their outdoor barracks. A shot is heard; the door of a house opens and a man stumbles out of it, followed by a woman who calmly shoots him several more times, the last few while standing over his body. The woman is Leslie Crosbie, the wife of a British rubber plantation manager in Malaya; the man whom she shot her manservant recognizes as Geoff Hammond, a well-regarded member of the European community. Leslie tells the servant to send for her husband Robert, who is working at one of the plantations. Her husband returns, having summoned his attorney and a British police inspector. Leslie tells them that Geoff Hammond ""tried to make love to me"" and that she killed him to save her honor. Leslie is placed under arrest and put in jail in Singapore to await trial for murder; that she killed a man makes such a trial inevitable, but her eventual acquittal seems a foregone conclusion, as the white community accepts her story and believes she acted heroically. Only her attorney, Howard Joyce, is rather suspicious. Howard's suspicions seem justified when his clerk, Ong Chi Seng, shows him a copy of a letter Leslie wrote to Hammond the day she killed him, telling him that her husband would be away that evening, and pleading with him to come—implicitly threatening him if he did not come. Ong Chi Seng tells Howard that the original letter is in the possession of Hammond's widow, a Eurasian woman who lives in the Chinese quarter of town. The letter is for sale, and Ong himself, whom Howard had believed to be impeccable, stands to receive a substantial cut of the price. Howard then confronts Leslie with the damning evidence and she breaks down and confesses to having written it, though she stands by her claim of having killed Hammond in self-defence. Yet Leslie cleverly manipulates the attorney into agreeing to buy back the letter, even though in doing so he will risk his own freedom and career. Because the couple's bank account is in Robert's name, Howard obtains Robert's consent to buy the letter, but he does so deceitfully, lying about and trivializing its content, leaving out the true circumstances, and giving the man no idea that the price is equivalent to almost all the money he has in the bank. Robert, depicted as a decent man thoroughly in love with Leslie and somewhat gullible, is readily persuaded. Hammond's widow demands that Leslie come personally to hand over the $10,000 for the letter (she has been released into her attorney's custody) and requires Leslie to debase herself by picking up the letter at the widow's feet. With the letter suppressed, Leslie is easily acquitted. During a celebration after the trial Robert announces that he plans to draw his savings out of his account in order to buy a rubber plantation in Sumatra. Howard and Leslie are forced to tell him that his savings are gone, that the impact of the letter would have hanged Leslie and its price was accordingly high. After demanding to see the letter, Robert is devastated to learn from Leslie that Hammond was her lover for years and that she killed him out of jealousy. At a party celebrating Leslie's acquittal, Robert tells friends of his plans to buy the plantation. Leslie, overhearing him, leaves the party, and Robert breaks down. Leslie goes to her room, tries to take up her lacemaking but cannot. She sobs. Stepping onto the balcony, she sees a knife laid on the matting. She withdraws, shocked. Robert comes into the room and offers to forgive her if she can swear that she loves him. Leslie at first agrees and tells him she loves him, and that she will do all in her power to make him happy. When he kisses her, she cries ""No!"" and then breaks down and confesses, ""With all my heart, I still love the man I killed!"" Robert rushes from the room. Leslie looks out at the patio mat, and the knife is gone. She knows that Hammond's widow had planted it there, and then has taken it away. She knows the woman waits for her--to kill her, and she realizes this is her fate. She walks out, amid the gardens and, finally, encounters the woman who glares at her fiercely. The man who accompanies her grabs Leslie and stuffs a cloth in her mouth to silence her, and then the woman pulls the knife from her garments and stabs Leslie, who falls to the ground. As the two murderers attempt to silently slip out, they are confronted by a policeman. The clouds blot out the moonlight and darken the area where Leslie was killed; then the clouds open and the moon's rays shine where her body lies, but no one is there to see it. ",The Letter (1940 film),1940
"The film tells the story of the crew aboard a British tramp steamer named the SS Glencairn on the long voyage home from the West Indies to Baltimore and then to England. The crew is a motley, fun-loving, hard-drinking lot. Among them is their consensus leader, a middle-aged Irishman named Driscoll (""Drisk"") (Thomas Mitchell), a young Swedish ex-farmer Ole Olsen (John Wayne), a spiteful steward nicknamed Cocky (Barry Fitzgerald), a brooding Lord Jim-like Englishman Smitty (Ian Hunter), and a burly, thoroughly dependable bruiser Davis (Joseph Sawyer), among others. The film opens on a sultry night in a port in the West Indies where the crew have been confined to their ship by order of the captain, yet they yearn as ever for an opportunity to drink and have fun with the ladies. Drisk has arranged to import a boat-load of local ladies, who along with baskets of fruit, have agreed to smuggle bottles of rum on board where, with the acquiescence of the captain, the crew carouse until a minor drunken brawl breaks out and the ladies are ordered off the ship and denied any of their promised compensation. The next day the ship sails to pick up its cargo for its return trip to England. When the crew discovers that the cargo is high explosives, they at first rebel and grumble among themselves that they won't crew the ship if it is carrying such a cargo. But they are easily cowed into submission by the captain and the ship sails, crossing the Atlantic and passing through what they all know is a war zone and potential disaster. After the ship leaves Baltimore with its load of dynamite, the rough seas they encounter become nerve-racking to the crew. When the anchor breaks loose, Yank (Ward Bond) is injured in the effort to secure it. With no doctor on board, nothing can be done for his injury, and he dies. They're also concerned that Smitty might be a German spy because he's so aloof and secretive. After they assault Smitty and restrain and gag him, they force him to give up the key to a small metal box they have found in his bunk which they at first think is a bomb. Opening the box against Smitty's vigorous protests, they discover a packet of letters. When Drisk reads a few, it becomes clear that they are letters from Smitty's wife revealing the fact that Smitty has been an alcoholic, disgraced and perhaps dishonorably discharged from his service with the British navy, and that he is now too ashamed to show himself before his family even though his wife urges him to come home. In the war zone as they near port, a German plane attacks the ship, killing Smitty in a burst of machine gun fire. Reaching England without further incident, the rest of the crew members decide not to sign on for another voyage on the Glencairn and go ashore, determined to help Ole return to his family in Sweden, whom he has not seen in ten years. In spite of their determination to help the simple, gullible Ole get on his ship for Stockholm, the crew is incapable of passing up the opportunity for a good time drinking and dancing in a seedy bar to which they have been lured by an agent for ships in port looking for crew members. He has his eye on Ole because he is the biggest and strongest of the lot. He drugs Ole's drink, and calls his confederates in to shanghai Ole aboard another ship, the Amindra. Driscoll and the rest of the crew, even though drunk and almost too late, rescue Ole from the Amindra, but Driscoll is clubbed and left on board as the crew makes its escape with Ole. The next morning, the crew straggles back somewhat dejectedly and resignedly to the Glencairn to sign on for another voyage. A newspaper headline reveals that the Amindra has been sunk in the Channel by German torpedoes, killing all on board. ",The Long Voyage Home,1940
,Our Town (1940 film),1940
"Tracy Lord (Katharine Hepburn) is the elder daughter of a wealthy Philadelphia Main Line socialite family. She was married to C.K. Dexter Haven (Cary Grant), a yacht designer and member of her social set, but divorced him two years ago, because he did not measure up to the exacting standards she sets for all her friends and family: he drank too much for her taste, and as she became critical of him, he drank more. Now she is about to marry nouveau riche ""man of the people"" George Kittredge (John Howard). Spy magazine publisher Sidney Kidd (Henry Daniell) is eager to cover the wedding, and assigns reporter Macaulay ""Mike"" Connor (James Stewart) and photographer Liz Imbrie (Ruth Hussey). He can get them into the affair with the assistance of Dexter Haven, who has been working for Spy in South America. Dexter will introduce them as friends of Tracy's brother Junius (a U.S. diplomat in Argentina). Tracy is not fooled, but Dexter threatens her with an innuendo-laden article about her father Seth's (John Halliday) affair with a dancer. Tracy deeply resents her father's infidelity, which has caused her parents to live separately. To protect her family's reputation, she agrees to let Mike and Liz stay. Dexter is welcomed back with open arms by Tracy's mother Margaret (Mary Nash) and teenage sister Dinah (Virginia Weidler), much to her annoyance. In addition, she gradually discovers that Mike has admirable qualities, and she even takes the trouble to find his book of short stories in the public library. As the wedding nears, she finds herself torn between George, Dexter, and Mike. The night before the wedding, Tracy gets drunk for only the second time in her life and takes an innocent midnight swim with Mike. When George sees Mike carrying an intoxicated Tracy into the house afterward, he thinks the worst. The next day, he tells her that he was shocked and feels entitled to an explanation before going ahead with the wedding. She takes exception to his lack of faith in her and breaks off the engagement. Then she realizes that all the guests have arrived and are waiting for the ceremony to begin. Mike volunteers to marry her (much to Liz's distress), but she graciously declines. She also realizes, for the first time, that she isn't perfect and shouldn't constantly condemn others for their weaknesses. At this point, Dexter offers to marry her again, and she accepts. ",The Philadelphia Story (film),1940
"The movie begins with a monologue by an older Huw Morgan (voice by Irving Pichel):[a] ""I am packing my belongings in the shawl my mother used to wear when she went to the market. And I'm going from my valley. And this time, I shall never return."" The valley and its villages are now blackened by the coal mines that fill the area. A young Huw (Roddy McDowall), the youngest child of Gwilym Morgan (Donald Crisp), walks home with his father to meet his mother, Beth (Sara Allgood). His older brothers, Ianto (John Loder), Ivor (Patric Knowles), Davy (Richard Fraser), Gwilym Jr., and Owen all work in the coal mines with their father, while sister Angharad (Maureen O'Hara) keeps house with their mother. Huw's childhood is idyllic, the town, not yet overrun with mining spoil, is beautiful, and the household is warm and loving. Huw is smitten on meeting Bronwyn (Anna Lee), a girl engaged to be married to his oldest brother, Ivor (Patric Knowles). At the boisterous wedding party Angharad meets the new preacher, Mr. Gruffydd (Walter Pidgeon), and there is an obvious mutual attraction. Trouble begins when the mine owner decreases wages, and the miners strike in protest. Gwilym's attempt to mediate by not endorsing a strike estranges him from the other miners as well as his older sons, who quit the house. Beth interrupts a late night meeting of the strikers, threatening to kill anyone who harms her husband. While returning home, crossing the fields in a snowstorm in the dark, Beth falls into the river. Huw dives in to save her with the help of the townspeople, and temporarily loses the use of his legs. He recovers with the help of Mr. Gruffydd, which further endears him to Angharad. The strike is eventually settled, and Gwilym and his sons reconcile, yet many miners have lost their jobs. Angharad is courted by the mine owner's son, Iestyn Evans (Marten Lamont), though she loves Mr. Gruffydd. Mr. Gruffydd loves her too, to the malicious delight of the gossipy townswomen, but cannot bear to subject her to an impoverished churchman's life. Angharad submits to a loveless marriage to Evans, and they relocate out of the country. Huw begins school at a nearby village. Abused by other boys, he is taught to fight by boxer Dai Bando (Rhys Williams) and his crony, Cyfartha (Barry Fitzgerald). After a beating by the cruel teacher Mr. Jonas (Morton Lowry), Dai Bando avenges Huw with an impromptu boxing display on Mr. Jonas to the delight of his pupils. On the day that Bronwyn gives birth to their child, Ivor is killed in a mine accident. Later, two of Morgan's sons are dismissed in favour of less experienced, cheaper labourers. With no job prospects, they leave to seek their fortunes abroad. Huw is awarded a scholarship to university, but to his father's dismay he refuses it to work in the mines. He relocates in with Bronwyn to help provide for her and her child. When Angharad returns without her husband, vicious gossip spreads through the town of an impending divorce. Mr. Gruffydd is denounced by the church deacons, and after condemning the town's small-mindedness, he decides to leave. Just then, the alarm whistle sounds, signalling another mine disaster. Several men are injured, and Gwilym and others are trapped in a cave-in. Young Huw, Mr. Gruffydd, and Dai Bando descend with others for a rescue attempt. Gwilym and his son are briefly re-united before he succumbs to his injuries. Huw rides the lift to the surface cradling his father's body, his coal-blackened face devoid of youthful innocence. Narration by an older Huw recalls, ""Men like my father cannot die. They are with me still, real in memory as they were in flesh, loving and beloved forever. How green was my valley then."" The movie ends with a montage of family vignettes showing Huw with his father and mother, his brothers and sister. ",How Green Was My Valley (film),1941
,Blossoms in the Dust,1941
"In a mansion in Xanadu, a vast palatial estate in Florida, the elderly Charles Foster Kane is on his deathbed. Holding a snow globe, he utters a word, ""Rosebud"", and dies; the globe slips from his hand and smashes on the floor. A newsreel obituary tells the life story of Kane, an enormously wealthy newspaper publisher. Kane's death becomes sensational news around the world, and the newsreel's producer tasks reporter Jerry Thompson with discovering the meaning of ""Rosebud"". Thompson sets out to interview Kane's friends and associates. He approaches Kane's second wife, Susan Alexander Kane, now an alcoholic who runs her own nightclub, but she refuses to talk to him. Thompson goes to the private archive of the late banker Walter Parks Thatcher. Through Thatcher's written memoirs, Thompson learns that Kane's childhood began in poverty in Colorado. In 1871, after a gold mine is discovered on her property, Kane's mother Mary Kane sends Charles away to live with Thatcher so that he would be properly educated. It is also implied that Kane's father could be violent towards his son and that is another reason she would like to send him away. While Thatcher and Charles' parents discuss arrangements inside, the young Kane plays happily with a sled in the snow outside his parents' boarding-house and protests being sent to live with Thatcher. Furious at the prospect of exile from his own family to live with a man he does not know, the boy strikes Thatcher with his sled and attempts to run away. Years later, after gaining full control over his trust fund at the age of 25, Kane enters the newspaper business and embarks on a career of yellow journalism. He takes control of the New York Inquirer and starts publishing scandalous articles that attack Thatcher's business interests. After the stock market crash in 1929, Kane is forced to sell controlling interest of his newspaper empire to Thatcher. Back in the present, Thompson interviews Kane's personal business manager, Mr. Bernstein. Bernstein recalls how Kane hired the best journalists available to build the Inquirer's circulation. Kane rose to power by successfully manipulating public opinion regarding the Spanish–American War and marrying Emily Norton, the niece of a President of the United States. Thompson interviews Kane's estranged best friend, Jedediah Leland, in a retirement home. Leland recalls how Kane's marriage to Emily disintegrates more and more over the years, and he begins an affair with amateur singer Susan Alexander while he is running for Governor of New York. Both his wife and his political opponent discover the affair and the public scandal ends his political career. Kane marries Susan and forces her into a humiliating operatic career for which she has neither the talent nor the ambition. Back in the present, Susan now consents to an interview with Thompson, and recalls her failed opera career. Kane finally allows her to abandon her singing career after she attempts suicide. After years spent dominated by Kane and living in isolation at Xanadu, Susan leaves Kane. Kane's butler Raymond recounts that, after Susan leaves him, Kane begins violently destroying the contents of her bedroom. He suddenly calms down when he sees a snow globe and says, ""Rosebud"". Back at Xanadu, Kane's belongings are being cataloged or discarded. Thompson concludes that he is unable to solve the mystery and that the meaning of Kane's last word will forever remain an enigma. As the film ends, the camera reveals that ""Rosebud"" is the trade name of the sled on which the eight-year-old Kane was playing on the day that he was taken from his home in Colorado. Thought to be junk by Xanadu's staff, the sled is burned in a furnace. ",Citizen Kane,1941
"On May 11, 1941, boxer and amateur pilot Joe Pendleton (Robert Montgomery), affectionately known as ""the Flying Pug"", flies his small aircraft to his next fight in New York City, but crashes when a control cable severs. His soul is ""rescued"" by 7013 (Edward Everett Horton), an officious angel who assumed that Joe could not have survived. Joe's manager, Max ""Pop"" Corkle (James Gleason), has his body cremated. In the afterlife, the records show his death was a mistake; he was supposed to live for 50 more years. The angel's superior, Mr. Jordan (Claude Rains), confirms this, but since there is no more body, Joe will have to take over a newly dead corpse. Mr. Jordan explains that a body is just something that is worn, like an overcoat; inside, Joe will still be himself. Joe insists that it be someone in good physical shape, because he wants to continue his boxing career. After Joe turns down several ""candidates"", Mr. Jordan takes him to see the body of a crooked, extremely wealthy banker and investor named Bruce Farnsworth, who has just been drugged and drowned in a bathtub by his wife Julia (Rita Johnson) and his secretary, Tony Abbott (John Emery). Joe is reluctant to take over a life so unlike his previous one, but when he sees the murderous pair mockingly berating Miss Logan (Evelyn Keyes), the daughter of a financier who was sold worthless bonds by Farnsworth's bank, he changes his mind and agrees to take over Farnsworth's body.[Note 1] As Farnsworth, Joe repays all the investors, including Miss Logan's father. He sends for Corkle and convinces him that he is Joe (by playing his saxophone just as badly as he did in his previous incarnation). With Farnsworth's money to smooth the way, Corkle trains him and arranges a bout to decide who will next fight the current heavyweight champion, but Mr. Jordan returns to warn Joe that, while he is destined to be the champion, it cannot happen that way. Joe has just enough time to tell Miss Logan, with whom he has fallen in love, that if a stranger (especially if he is a boxer) approaches her, to give him a chance. Then he is shot by his secretary. While Joe returns to a ghostly existence, Farnsworth's body is hidden, with everyone believing Farnsworth has simply disappeared. Corkle hires a private investigator to find him. Accompanied by Mr. Jordan, Joe goes to retrieve his lucky saxophone he left on Farnsworth's piano and finds the police conducting a group interrogation. Corkle, talking to himself, wanders the room looking for Joe or Mr. Jordan. Corkle has explained about Joe, Mr. Jordan and the body-switching, to the police detective (Donald MacBride) who thinks he is a nut. Joe manages to mentally nudge Corkle into turning on the radio to hear the championship fight and hears that Murdoch has collapsed from a slight grazing punch. Mr. Jordan reveals that the boxer was shot by gamblers because he refused to throw the fight. Joe takes over Murdoch's body and wins the title. Back at the mansion, Corkle hears one of the radio announcers mention a saxophone hanging by the ringside and seeing the saxophone gone from the room, realizes Joe has assumed Murdoch's body. Corkle races down to the dressing room. There, Joe passes along information from Mr. Jordan that Farnsworth's body is in a refrigerator in the basement of the mansion. Corkle tells the detective, who promptly has Mrs. Farnsworth and the secretary arrested. As Murdoch, Joe fires his old, crooked manager and hires Corkle. Mr. Jordan reveals to Joe that this is his destiny; he can be Murdoch and live his life. Healing the gunshot wound and at the same time removing Joe's memory of his past life, Mr. Jordan hangs around for a bit longer until Miss Logan arrives. She wanted to see Corkle, but runs into Murdoch instead. The pair feel they have met before. The two go off together, while Mr. Jordan smiles and says ""So long, champ."" ",Here Comes Mr. Jordan,1941
